Name	locus_tag
BSU38240	ywcA
BSU38260	efeN
BSU38270	efeM
BSU38280	efeU
BSU38300	thiM
BSU38360	ywbD
BSU38450	ywaE
BSU38560	licH
BSU38570	licA
BSU38580	licC
BSU38590	licB
BSU38610	yxzF
BSU38620	yxlJ
BSU38730	cydD
BSU38740	cydC
BSU38810	msmX
BSU38820	yxkF
BSU38840	yxkD
BSU38990	scoA
BSU39000	yxjC
BSU39020	yxjA
BSU39050	katE
BSU39070	bglS
BSU39250	yxiE
BSU39260	bglH
BSU39270	bglP
BSU39290	yxxD
BSU39300	yxiD
BSU39310	yxiC
BSU39320	yxiB
BSU39630	yxdM
BSU39650	yxdK
BSU39660	yxdJ
BSU39670	iolJ
BSU39680	iolI
BSU39690	iolH
BSU39700	iolG
BSU39710	iolF
BSU39720	iolE
BSU39730	iolD
BSU39740	iolC
BSU39750	iolB
BSU39760	mmsA
BSU39770	iolR
BSU39780	iolS
BSU39810	csbC
BSU39820	htpG
BSU39840	yxbG
BSU39850	yxbF
BSU39940	yxaL
BSU39970	yxaH
BSU39980	qodI
BSU40000	yxnA
BSU40022	yxaC
BSU40030	yxaB
BSU40040	glxK
BSU40060	gntK
BSU40070	gntP
BSU40080	gntZ
BSU40130	yydK
BSU40300	rapG
BSU40310	phrG
BSU40340	rocD
BSU40360	htrC
BSU40370	yycJ
BSU40380	yycI
BSU40390	walH
BSU40400	walK
BSU40430	yycE
BSU40550	ppaC
BSU40650	yybG
BSU40660	yybF
BSU40680	yybD
BSU40700	yybB
BSU40770	tetB
BSU40820	yyaL
BSU40850	maa
BSU40920	yyaF
BSU41020	trmE
